canonical_smiles,molecule_chembl_id,standard_value,value,target_chembl_id,pIC50
CSc1ccccc1Nc1nc(N2CCNCC2)nc2c(NCC3CC3)ncnc12,CHEMBL2017214,40000.0,40.0,CHEMBL3778,4.3979400086720375
O=C(Nc1ccc(N2CCNCC2)cc1)c1ccc(-c2ccc(Cl)cc2)o1,CHEMBL1938680,7500.0,7500.0,CHEMBL3778,5.1249387366083
Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2cc(CN3CCCCC3)ns2)n1,CHEMBL1739550,56.0,56.0,CHEMBL3778,7.251811972993799
Cc1cn2c(-c3cnn(CC(=O)NCc4cccs4)c3)cnc2c(Nc2cc(CN3CCCC(C)C3)ns2)n1,CHEMBL2022369,873.0,873.0,CHEMBL3778,6.0589857562944305
Cc1cn2c(-c3cnn(CC(=O)Nc4cccc(F)c4F)c3)cnc2c(Nc2cc(CN3CCCCC3)ns2)n1,CHEMBL2022373,1423.0,1423.0,CHEMBL3778,5.846795099915716
Cc1cn2c(-c3cnn(CC(=O)Nc4ccncc4)c3)cnc2c(Nc2cc(CN3CCCC(C)C3)ns2)n1,CHEMBL2022379,1142.0,1142.0,CHEMBL3778,5.942333896090171
Cc1cn2c(-c3cnn(CC(=O)Nc4ccncc4F)c3)cnc2c(Nc2cc(CN3CCCC(C)C3)ns2)n1,CHEMBL2022711,1219.0,1219.0,CHEMBL3778,5.913996294381618
Nc1ncnn2ccc(C(=O)Nc3ccc(NC(=O)Nc4cccc(F)c4)cc3)c12,CHEMBL1990583,340.0,340.0,CHEMBL3778,6.468521082957745
CSc1ccccc1Nc1nc(N2CCN(C3CCNCC3)CC2)nc2c(NCC3CC3)ncnc12,CHEMBL2063926,10000.0,10.0,CHEMBL3778,5.0
CN1CCN(c2ccc(Nc3ncc4nc(Nc5ccccc5)n(C5CCCC5)c4n3)cc2)CC1,CHEMBL2178352,10000.0,10.0,CHEMBL3778,5.0
NC(=O)c1cnc(N[C@H]2CC[C@H](N)CC2)c2nc(-c3ccc(Cl)cc3)cn12,CHEMBL2381601,1100.0,1.1,CHEMBL3778,5.958607314841775
COc1ccc2c(c1)C(=O)N(c1nc(C(=O)Nc3cnccc3N3CCNCC3)cs1)C2,CHEMBL2381116,1100.0,1100.0,CHEMBL3778,5.958607314841775
O=C1c2oc(-c3ccc(Cl)cc3)cc2Cc2cc(N3CCNCC3)ccc2N1Cc1ccccc1-c1cccnc1,CHEMBL2385543,26000.0,26.0,CHEMBL3778,4.585026652029182
CCc1ccc2nc(Nc3cc(Cc4ccccc4)nc(N[C@H]4CC[C@H](O)CC4)n3)sc2c1,CHEMBL2441273,3.981,8.4,CHEMBL3778,8.400007822415901
Cc1c(NC(=O)c2ccc(C(C)(C)C)cc2)cccc1-c1nc(Nc2ccc(C(=O)N3CCOCC3)cc2)c2nc[nH]c2n1,CHEMBL3263640,50000.0,50.0,CHEMBL3778,4.301029995663981
CC(=O)N1CCC[C@@H](n2cc(-c3cnc(-c4cccc(-c5cnn(C)c5)c4)nc3)cn2)C1,CHEMBL3353212,100.0,0.1,CHEMBL3778,7.0
Cn1cc(-c2cccc(-c3ncc(-c4cnn([C@@H]5CCCN(S(C)(=O)=O)C5)c4)cn3)c2)cn1,CHEMBL3353211,100.0,0.1,CHEMBL3778,7.0
O=C1Nc2nc3ccccc3n2CCn2cc(cn2)-c2ccc(=O)n(n2)Cc2cccc1c2,CHEMBL3353216,100.0,0.1,CHEMBL3778,7.0
O=C1Nc2nc3ccccc3n2Cc2cc(ccc2O)-c2ccc(=O)n(n2)Cc2cccc1c2,CHEMBL3353215,100.0,0.1,CHEMBL3778,7.0
CN(C)C(=O)Cc1ccc2nc(NC(=O)c3cccc(Cn4nc(-c5cccnc5)ccc4=O)c3)[nH]c2c1,CHEMBL3353214,100.0,0.1,CHEMBL3778,7.0
O=C(Nc1nc2ccc(CO)cc2[nH]1)c1cccc(Cn2nc(-c3cccnc3)ccc2=O)c1,CHEMBL3353213,100.0,0.1,CHEMBL3778,7.0
Cc1cc(Nc2ncc(-c3nc4ccccc4s3)c(NC3C[C@H](C(C)(C)O)[C@@H](O)[C@H]3O)n2)cc(C)n1,CHEMBL3353201,2.2,2.2,CHEMBL3778,8.657577319177793
CN1CCN(c2cccc(Nc3ncc(-c4nc5ccccc5s4)c(NC4C[C@H](CO)[C@@H](O)[C@H]4O)n3)c2)CC1.Cl,CHEMBL3353200,2.6,2.6,CHEMBL3778,8.585026652029182
Cc1cc(Nc2ncc(-c3nc4ccccc4s3)c(NC3C[C@H](CO)[C@@H](O)[C@H]3O)n2)cc(C)n1.Cl,CHEMBL3353199,0.32,0.32,CHEMBL3778,9.494850021680094
Nc1ccc(-c2cccc(C(=O)Nc3ccc4nc(N5CCOCC5)sc4c3)n2)cn1,CHEMBL3353198,50.0,50.0,CHEMBL3778,7.301029995663981
CNC(=O)c1nc(-c2cnc(Nc3ccc4ncsc4c3)cc2NC(C)C)sc1C,CHEMBL3353197,1.8,0.0018,CHEMBL3778,8.744727494896694
CC(C)Nc1cc(Nc2ccc3ncsc3c2)ncc1-c1nnc(C(=O)N2CC[C@H](O)C2)s1,CHEMBL3353196,2.8,0.0028,CHEMBL3778,8.55284196865778
CNC(=O)[C@H]1CC[C@H](NC(=O)c2cnc(Nc3ccc4ncsc4n3)cc2NC2CCOCC2)CC1,CHEMBL3353195,1.5,0.0015,CHEMBL3778,8.823908740944319
CC(C)(O)[C@H](F)CNC(=O)c1cnc(Nc2ccc3cnccc3n2)cc1NC1CC1,CHEMBL3352825,5.6,0.0056,CHEMBL3778,8.2518119729938
CC(C)Nc1cc(Nc2ncc(C#N)cn2)ncc1C(=O)NC[C@@H](F)C(C)(C)O,CHEMBL3353194,5.3,5.3,CHEMBL3778,8.275724130399212
CC(C)Nc1cc(Nc2ncc(Cl)cc2F)ncc1C(=O)NC[C@@H](F)C(C)(C)O,CHEMBL3353193,3.5,3.5,CHEMBL3778,8.455931955649724
Cc1cc(C#N)cnc1Nc1cc(NC(C)C)c(C(=O)NC[C@@H](F)C(C)(C)O)cn1,CHEMBL3353192,3.6,3.6,CHEMBL3778,8.443697499232712
CC(C)(O)[C@H](F)CNC(=O)c1cnc(Nc2ncc(C#N)cc2Cl)cc1NC1CC1,CHEMBL3353191,1.8,1.8,CHEMBL3778,8.744727494896694
CC(C)Nc1cc(Nc2ncc(C#N)cc2Cl)ncc1C(=O)NC[C@@H](F)C(C)(C)O,CHEMBL3353190,1.9,1.9,CHEMBL3778,8.721246399047171
CN(C)[C@H]1CC[C@H](Nc2nc(Nc3ccccc3)nc3[nH]ccc23)CC1,CHEMBL3353186,100.0,0.1,CHEMBL3778,7.0
CN(C)[C@H]1CC[C@H](Nc2ncnc3[nH]cc(F)c23)CC1,CHEMBL3353185,100.0,0.1,CHEMBL3778,7.0
CN(C)[C@H]1CC[C@H](Nc2ncnc3[nH]cc(C#N)c23)CC1,CHEMBL3353184,100.0,0.1,CHEMBL3778,7.0
CN(C)[C@H]1CC[C@H](Nc2ncnc3sc4ccc(C(N)=O)cc4c23)CC1,CHEMBL3361258,100.0,100.0,CHEMBL3778,7.0
c1ccc2c(c1)sc1ncnc(N[C@H]3CC[C@H](N4CCOCC4)CC3)c12,CHEMBL3361257,100.0,100.0,CHEMBL3778,7.0
CN(C)[C@H]1CC[C@H](Nc2ncnc3sc4ccccc4c23)CC1,CHEMBL3361256,100.0,100.0,CHEMBL3778,7.0
c1nc(N[C@H]2CC[C@H](N3CCOCC3)CC2)c2c3c(sc2n1)CCC3,CHEMBL3361253,5000.0,5.0,CHEMBL3778,5.301029995663981
COc1cc2ncccc2cc1NC(=O)c1csc2cnc(N(C)CCN)nc12,CHEMBL3353220,8.0,0.008,CHEMBL3778,8.096910013008056
NCC1CCN(c2ccc(Cl)cc2NC(=O)c2cnn3cc(O)cnc23)CC1,CHEMBL3353219,1.0,0.001,CHEMBL3778,9.0
O=C1Nc2cn(CCN3CCOCC3)nc2C(=O)NCCOCCc2cc(ccn2)-c2nc1cs2,CHEMBL3353218,100.0,0.1,CHEMBL3778,7.0
O=C1Nc2cn(C3CCOCC3)nc2C(=O)NCCCCCc2cc(ccn2)-c2nc1cs2,CHEMBL3353217,100.0,0.1,CHEMBL3778,7.0
O=C(c1ccc(-n2cc(-c3n[nH]c4ccccc34)nn2)cc1)N1CCOCC1,CHEMBL3353210,100.0,0.1,CHEMBL3778,7.0
Cc1ccc(-n2nc(N3CCN(C4CCC4)CC3)cc2NC(=O)c2cnn3cccnc23)nc1,CHEMBL3353209,100.0,100.0,CHEMBL3778,7.0
Cc1ccc(-n2nc(N3CCN(C4CCOCC4)CC3)cc2NC(=O)c2cnn3cccnc23)nc1,CHEMBL3353208,100.0,100.0,CHEMBL3778,7.0
Cc1ccc(-n2nc(N3CCN(C4CCCCCC4)CC3)cc2NC(=O)c2cnn3cccnc23)nc1,CHEMBL3353207,100.0,100.0,CHEMBL3778,7.0
Cn1cc(-c2cccc(C(=O)Nc3cn(C)nc3C(N)=O)n2)cn1,CHEMBL3353206,32.0,32.0,CHEMBL3778,7.494850021680094
N[C@H]1CCCC[C@H]1Nc1cccc2nc(-c3c(N[C@@H]4CCCNC4)nc(N4CCOCC4)[nH]c3=O)sc12,CHEMBL3353205,2.0,2.0,CHEMBL3778,8.698970004336019
NCCNc1cccc2nc(-c3c(N[C@@H]4CCCNC4)nc(N4CCOCC4)[nH]c3=O)sc12,CHEMBL3353204,16.0,16.0,CHEMBL3778,7.795880017344075
O=c1[nH]c(N2CCOCC2)nc(N[C@H]2CNCC[C@@H]2F)c1-c1nc2ccccc2s1,CHEMBL3353203,14.0,14.0,CHEMBL3778,7.853871964321762
O=c1[nH]c(N2CCN(c3cccnc3)CC2)nc(N[C@@H]2CCCNC2)c1-c1nc2ccccc2s1,CHEMBL3353202,6.0,6.0,CHEMBL3778,8.221848749616356
Cl.Cn1cc(NC(=O)c2coc(-c3ccnc(NCC(F)(F)F)c3)n2)c(C(N)=O)n1,CHEMBL3353189,0.24,0.24,CHEMBL3778,9.619788758288394
Cl.NC(=O)c1nn(-c2cccnc2)cc1NC(=O)c1coc(-c2ccnc(NCC(F)(F)F)c2)n1,CHEMBL3353188,0.36,0.36,CHEMBL3778,9.443697499232712
Cc1cc(-c2nc(C(=O)Nc3cn(C4CCOCC4)nc3C(N)=O)co2)ccn1.Cl,CHEMBL3353187,21.0,21.0,CHEMBL3778,7.6777807052660805
CN(Cc1ccccc1)C(=O)c1ccc(S(=O)(=O)Nc2ccccc2)cc1,CHEMBL3355482,100000.0,100.0,CHEMBL3778,4.0
Clc1ccc(-c2ccc(-c3nccn3-c3ccc(N4CCNCC4)cc3)o2)cc1,CHEMBL3314140,30000.0,30.0,CHEMBL3778,4.522878745280337
COc1cc2c(Nc3ccc(NC(=O)c4ccccc4)cc3)ncnc2cc1O,CHEMBL3343033,30000.0,30.0,CHEMBL3778,4.522878745280337
COc1cc2c(Nc3ccc(NC(=O)c4ccccc4)cc3)nc(C)nc2cc1O,CHEMBL3343034,30000.0,30.0,CHEMBL3778,4.522878745280337
COc1cc2c(Nc3ccc(NC(=O)c4ccccc4)cc3)ncnc2cc1OCCO,CHEMBL3343037,24400.0,24.4,CHEMBL3778,4.61261017366127
