canonical_smiles,molecule_chembl_id,standard_value,value,target_chembl_id,pIC50,MolWt,LogP,NumHDonors,NumHAcceptors,TPSA,NumRotatableBonds,NumAromaticRings,RingCount,BertzCT,Chi0v,Chi1v,Chi2v,Chi3v,Kappa1,Kappa2,Kappa3,MaxEStateIndex,MinEStateIndex,qed,LabuteASA,fr_NH0,fr_NH1,fr_NH2,fr_C_O,fr_COO,fr_N_O,UMAP1,UMAP2,UMAP3_1,UMAP3_2,UMAP3_3,cluster_label
Brc1cccc(-c2cc(NCc3ccncc3)n3ncnc3n2)c1,CHEMBL203006,26000.0,26.0,CHEMBL301,4.585026652029182,381.237,3.560900000000002,1,6,68.0,4,4,4,982.726486378494,14.180638462706533,8.182651245078892,6.1335028935623095,4.088455428032943,14.77093094733966,6.366512773160972,2.9796143250688703,4.580744834971026,0.5599109767363737,0.5855944862412502,146.29314932267417,5,1,0,0,0,0,17.09216,1.1619112,8.705227,-5.2959323,9.860533,1
COc1cc(C)c(Sc2cnc(NC(=O)c3ccc(CNC(C)C(C)(C)C)cc3)s2)cc1C(=O)N1CCN(C(C)=O)CC1,CHEMBL209148,29000.0,29.0,CHEMBL301,4.537602002101044,623.8449999999999,5.692120000000005,2,8,103.86999999999998,9,3,4,1457.3764206585452,27.578459750588245,15.994715158824995,14.195272634200569,9.956456064240117,32.50272540213035,13.919047819964945,8.364982177690553,13.431359283929662,-0.2158797043110818,0.3156136134013576,261.9444008368224,3,2,0,3,0,0,16.149298,1.9217608,9.72591,-4.6930485,9.910945,1
Cc1cc(-c2cnc(Nc3cnc(CN4CCN(C)CC4)cn3)s2)nc(OC2CCCCC2)n1,CHEMBL210540,1700.0,1700.0,CHEMBL301,5.769551078621726,480.64200000000034,3.9010200000000026,1,10,92.19,7,3,5,1074.8319314980658,20.72130748816876,12.896193600589584,10.212723017747402,7.273214153247626,23.070632712919128,10.708966701749606,6.050343818052328,6.093866817672058,0.222117185917531,0.540317136492706,204.1998546403882,7,1,0,0,0,0,15.317533,2.6751842,10.376888,-3.7519026,9.353814,1
Cc1cc(-c2cnc(Nc3ccccn3)s2)nc(OC2CCCCC2)n1,CHEMBL427045,10000.0,10000.0,CHEMBL301,5.0,367.4780000000003,4.758620000000002,1,7,72.82000000000001,5,3,4,861.3758570135645,15.498833334115409,9.743806962320209,7.455301457597209,5.251290669069405,16.90315725786409,7.781007941133726,4.161813028820148,6.037106366089952,0.2372623679810934,0.700864285469791,156.2767177861845,4,1,0,0,0,0,15.298151,2.7171304,10.393242,-3.7452936,9.365889,1
Cc1cnc(OC2CCCCC2)nc1-c1cnc(Nc2ccccn2)s1,CHEMBL212049,270.0,270.0,CHEMBL301,6.568636235841013,367.478,4.758620000000003,1,7,72.82000000000001,5,3,4,861.3758570135645,15.498833334115409,9.73972391972258,7.462357092549823,5.3323524957186335,16.90315725786409,7.781007941133726,3.9882787874332135,6.011273032756618,0.2381013702486674,0.7008642854697913,156.2767177861845,4,1,0,0,0,0,15.289355,2.7250936,10.396154,-3.7588904,9.368365,1
c1ccc(Nc2ncc(-c3ccnc(OC4CCCCC4)n3)s2)nc1,CHEMBL424696,14.0,14.0,CHEMBL301,7.853871964321762,353.4510000000001,4.450200000000002,1,7,72.82000000000001,5,3,4,817.098451775486,14.576183603305031,9.323057253055914,7.002616424246674,5.051067991150919,15.957042015292538,7.565026090289818,4.111274483080719,5.956273032756618,0.2424475531662788,0.7303910842593023,149.9117756717879,4,1,0,0,0,0,15.303067,2.710299,10.410043,-3.7373078,9.3600855,1
Nc1nc(Nc2ccc(S(N)(=O)=O)cc2)nn1C(=O)c1c(F)cccc1F,CHEMBL191003,2.0,2.0,CHEMBL301,8.698970004336019,394.36300000000006,1.217999999999999,3,8,145.98999999999998,4,3,3,1108.7040636167628,14.24321189800814,8.823661099370419,6.863033454850422,4.3693980510121735,18.4122491759402,6.735580600255685,3.753406837787492,13.767917650753322,-3.843914239080078,0.6027885397158543,151.2204274598738,3,1,2,1,0,0,14.588868,3.1203845,8.557996,-2.996635,8.547139,1
CC1CN(c2cc(=O)c3ccc4ccccc4c3o2)CCO1,CHEMBL435507,2400.0,2.4,CHEMBL4005,5.619788758288394,295.3380000000001,3.1713000000000022,0,4,42.68000000000001,1,3,4,899.6073486377704,12.4120809639682,7.543794861025479,5.739694716599319,4.159002422273069,13.341048271463231,5.141989484760499,2.16081430006457,12.449484363189718,0.0010629251700682,0.646725453014075,127.45332942518424,1,0,0,0,0,0,15.366389,1.4277385,9.8019905,-4.3850756,9.448172,1
O=c1cc(N2CCOCC2)oc2c(-c3ccccc3)cccc12,CHEMBL98350,2300.0,2.3,CHEMBL4005,5.638272163982407,307.34900000000005,3.2966000000000024,0,4,42.68000000000001,2,3,4,880.0053556428387,12.696538014344371,7.777835842237952,5.596591914245144,4.149244549238133,14.03108475824506,5.893593272736996,2.617478764702588,12.507811397707233,-0.0087750377928947,0.7283788950081733,133.4638169851165,1,0,0,0,0,0,15.216119,1.20364,9.640878,-4.1134973,9.249513,1
O=c1cc(N2CCOCC2)oc2c1ccc1ccccc12,CHEMBL104468,13000.0,13.0,CHEMBL4005,4.886056647693163,281.31100000000004,2.782800000000001,0,4,42.68000000000001,1,3,4,862.6630196836688,11.54183747596512,7.111169175571286,5.211691734785393,3.92901668173048,12.413652799288911,4.895664212236049,2.080235575336993,12.3679580026455,0.0032360166288738,0.6432520593341035,121.08838731078764,1,0,0,0,0,0,15.200002,1.0919589,9.615952,-4.100312,9.170329,1
O=c1cc(N2CCOCC2)nc2c3ccccc3ccn12,CHEMBL179242,100000.0,100.0,CHEMBL4005,4.0,281.315,1.6842999999999997,0,5,46.84,1,3,4,866.1498879849246,11.528016376501174,7.066871831259688,5.148595519059153,3.878584024527671,12.34897119341564,4.856849863803878,2.059833795013851,12.350920965608465,-0.0488473167044594,0.6367777999078497,120.95020189113448,3,0,0,0,0,0,15.257374,1.3141656,9.489198,-4.088471,9.1000185,1
