Time (s),A Concentration (mol/L),I Concentration (mol/L),P Concentration (mol/L),Temperature (K),kf1 (s^-1),kr1 (s^-1),kf2 (s^-1),kr2 (s^-1)
1.5,0.6540639959573824,0.1636543050774453,0.18228169896517216,295.1893950645774,0.24757929232581138,0.00043867989726373107,0.9770948669923222,0.0003200189446922143
1.6,0.6381350177720565,0.16383145004723415,0.19803353218070927,295.0003093666394,0.24364625770312523,0.00043056038199165226,0.9628568123311507,0.0003145151493155464
1.7000000000000002,0.6228357642311014,0.16358717807250953,0.21357705769638893,294.81572742679964,0.2398580121695504,0.0004227603980540606,0.9491247939965316,0.00030922096254732393
1.8,0.6081304146466209,0.16298902777524615,0.2288805575781329,294.63570544110604,0.2362122370803633,0.0004152731203068226,0.935892142261235,0.0003041324569789298
1.9000000000000001,0.5939855300753385,0.16209445415315993,0.24392001577150146,294.46025576681666,0.2327056112591415,0.00040808975733798626,0.923148479366301,0.00029924433577603653
2.0,0.5803699190272047,0.16095237751689764,0.2586777034558976,294.2893564237252,0.2293341098549431,0.00040120018631116777,0.9108807845591177,0.0002945503571081207
2.1,0.5672544988098628,0.15960448714584913,0.273141014044288,294.12295878462425,0.22609323575146953,0.00039459343962664075,0.8990742227270635,0.00029004366117130903
2.2,0.5546121570131575,0.15808633866490376,0.2873015043219386,293.96099378838534,0.22297819755217899,0.00038825807496379905,0.8877127851906192,0.0002857170203036389
2.3000000000000003,0.5424176162013744,0.15642827827218717,0.3011541055264383,293.8033769498646,0.219984045426876,0.0003821824539678695,0.8767797818411943,0.0002815630286445703
2.4000000000000004,0.530647303825868,0.15465622178256822,0.3146964743915637,293.6500123911973,0.21710577384371088,0.0003763549496693799,0.8662582160418347,0.0002775742444574442
2.5,0.5192792286033396,0.15279231198721543,0.3279284594094448,293.5007960778639,0.21433839836724786,0.00037076409853042513,0.856131067361463,0.0002737432955242846
2.6,0.508292864053107,0.15085547401783975,0.34085166192905314,293.3556184089842,0.21167701221481647,0.000365398709643095,0.8463815020742403,0.0002700629558404906
2.7,0.49766903949517166,0.1488618851784318,0.3534690753263965,293.21436628348727,0.2091168270702685,0.0003602479409193097,0.8369930272251886,0.00026652620009264824
2.8000000000000003,0.48738983853805923,0.14682537299427123,0.3657847884676695,293.07692474109234,0.2066532017025079,0.00035530134998037853,0.8279496007598142,0.00026312624101497894
2.9000000000000004,0.4774385048998502,0.144757752956304,0.37780374214384577,292.94317825852795,0.20428166118012908,0.00035054892577075054,0.8192357075840979,0.00025985655362056117
3.0,0.46779935528399647,0.1426691155426346,0.38953152917336886,292.8130117663667,0.2019979088745225,0.00034598110559391483,0.8108364093309667,0.00025671088943483394
3.1,0.45845769895585975,0.14056807051901127,0.4009742305251289,292.68631143961824,0.19979783297033898,0.00034158878122569376,0.802737373952507,0.00025368328317425205
3.2,0.449399763623346,0.13846195520554483,0.4121382811711091,292.56296530528994,0.19767750882852606,0.00033736329694204525,0.7949248899457,0.00025076805377413023
3.3000000000000003,0.44061262720588484,0.13635701230357908,0.42303036049053605,292.4428637020557,0.1956331982525756,0.00033329644165736765,0.7873858689826476,0.00024795980124623555
3.4000000000000004,0.4320841550731812,0.13425854196742512,0.43365730295939364,292.3258996206217,0.1936613464766799,0.0003293804368677251,0.7801078398973916,0.0002452534005142836
3.5,0.42380294234343474,0.13217103204932945,0.4440260256072358,292.21196894805234,0.1917585775119487,0.0003256079217011813,0.7730789363349247,0.00024264399311473456
3.6,0.41575826084626905,0.13009826981646705,0.4541434693372639,292.10097063499205,0.1899216883433357,0.0003219719360712414,0.7662878798579476,0.00024012697744596256
3.7,0.40794001037568867,0.1280434379142236,0.46401655171008777,291.9928068011975,0.1881476423571622,0.0003184659026905568,0.7597239599049216,0.00023769799808895313
3.8000000000000003,0.40033867388101385,0.12600919691255738,0.4736521292064288,291.88738279192796,0.18643356229062238,0.0003150836085160867,0.7533770116761405,0.0002353529345976035
3.9000000000000004,0.3929452762675386,0.12399775640691253,0.48305696732554887,291.78460719540715,0.18477672292523645,0.00031181918605221364,0.7472373927750675,0.00023308789005902164
4.0,0.3857513465026434,0.1220109363396769,0.4922377171576797,291.6843918296658,0.18317454369188266,0.00030866709482616145,0.7412959592361053,0.00023089917964810942
