Time (s),N_R,N_P,R Concentration (mol/L),P Concentration (mol/L),k (s^-1)
3.9642665011808216,4070,1930,6.758551976087678e-21,3.2049153105280638e-21,0.101
3.9647100183981867,4069,1931,6.756891398206575e-21,3.206575888409166e-21,0.101
3.966693903284524,4068,1932,6.755230820325473e-21,3.208236466290269e-21,0.101
3.973515488747388,4067,1933,6.7535702424443705e-21,3.2098970441713713e-21,0.101
3.975063688947623,4066,1934,6.751909664563268e-21,3.211557622052474e-21,0.101
3.9753544870037776,4065,1935,6.750249086682165e-21,3.213218199933577e-21,0.101
3.9806659765964683,4064,1936,6.748588508801062e-21,3.2148787778146793e-21,0.101
3.9851956519965226,4063,1937,6.74692793091996e-21,3.216539355695782e-21,0.101
3.985463918289027,4062,1938,6.7452673530388574e-21,3.2181999335768844e-21,0.101
3.9862027332148937,4061,1939,6.743606775157755e-21,3.2198605114579872e-21,0.101
3.9882127161512906,4060,1940,6.741946197276652e-21,3.22152108933909e-21,0.101
3.988381519760631,4059,1941,6.740285619395549e-21,3.2231816672201924e-21,0.101
3.9897224892133156,4058,1942,6.738625041514447e-21,3.224842245101295e-21,0.101
3.990911024877909,4057,1943,6.736964463633344e-21,3.2265028229823976e-21,0.101
3.9912824588191462,4056,1944,6.7353038857522415e-21,3.2281634008635003e-21,0.101
3.994450238665401,4055,1945,6.733643307871139e-21,3.229823978744603e-21,0.101
3.995537326840829,4054,1946,6.731982729990036e-21,3.2314845566257055e-21,0.101
4.003915022077415,4053,1947,6.730322152108934e-21,3.2331451345068083e-21,0.101
4.005766521340178,4052,1948,6.728661574227831e-21,3.2348057123879107e-21,0.101
4.012375240125184,4051,1949,6.7270009963467284e-21,3.2364662902690134e-21,0.101
4.014469422569891,4050,1950,6.725340418465626e-21,3.2381268681501162e-21,0.101
4.015554954858856,4049,1951,6.723679840584523e-21,3.2397874460312186e-21,0.101
4.015616959810823,4048,1952,6.722019262703421e-21,3.2414480239123214e-21,0.101
4.016235964028262,4047,1953,6.720358684822318e-21,3.243108601793424e-21,0.101
4.022716150808584,4046,1954,6.718698106941215e-21,3.2447691796745265e-21,0.101
4.025593512446961,4045,1955,6.7170375290601125e-21,3.2464297575556293e-21,0.101
4.028422334365419,4044,1956,6.71537695117901e-21,3.2480903354367317e-21,0.101
4.031304792001329,4043,1957,6.713716373297907e-21,3.2497509133178345e-21,0.101
4.0317490955825805,4042,1958,6.712055795416805e-21,3.2514114911989373e-21,0.101
4.033363905438197,4041,1959,6.710395217535702e-21,3.2530720690800396e-21,0.101
