Time (s),A Concentration (mol/L),I Concentration (mol/L),P Concentration (mol/L),Temperature (K),k1 (s^-1),k2 (s^-1)
3.1,0.4657915946027498,0.14759944364893476,0.3866089617483154,292.47159861451144,0.19612331870039657,0.7582758230644906
3.2,0.4567491147155602,0.14555405560473206,0.39769682967970776,292.3537611969102,0.19413145260599954,0.751213396018271
3.3000000000000003,0.4479699279414363,0.14349825901213276,0.40853181304643094,292.239020453469,0.19221026360589852,0.7443958412362442
3.4000000000000004,0.43944253517526977,0.1414381824367318,0.4191192823879984,292.1272682618303,0.19035636622646993,0.7378116929399335
3.5,0.4311561182090776,0.13937910193134567,0.4294647798595767,292.01840056144374,0.18856656565771795,0.731450114342783
3.6,0.4231004901162658,0.1373255517133157,0.43957395817041844,291.91231728969393,0.18683784718799726,0.7253008643879238
3.7,0.4152660497885764,0.13528141990727843,0.44945253030414517,291.80892229626534,0.18516736592615596,0.719354265137014
3.8000000000000003,0.40764374024894023,0.13325003149282597,0.45910622825823383,291.7081232414683,0.18355243688996223,0.7136011701167284
3.9000000000000004,0.4002250103979656,0.13123422027068765,0.46854076933134675,291.6098314831051,0.1819905255124029,0.70803293383243
4.0,0.39300177988356705,0.1292363913877487,0.4777618287286843,291.51396195552894,0.1804792385967108,0.7026413825843503
4.1000000000000005,0.38596640681234273,0.12725857573150767,0.48677501745614965,291.4204330437971,0.17901631573548293,0.6974187866653629
4.2,0.37911165804785046,0.12530247731115154,0.495585864640998,291.329166455214,0.17759962119773376,0.6923578339771503
4.3,0.3724306818650647,0.12336951457925703,0.5041998035556783,291.24008709006654,0.17622713627926676,0.6874516050700327
4.4,0.3659169827521795,0.12146085651022856,0.512622160737592,291.1531229129574,0.17489695210571402,0.6826935495886154
4.5,0.35956439817073227,0.11957745413482401,0.5208581476944438,291.06820482582054,0.17360726287332612,0.6780774640888663
4.6000000000000005,0.353367077102929,0.11772006813108547,0.5289128547659857,290.98526654344363,0.17235635950978187,0.6735974711804903
4.7,0.3473194602312156,0.11588929298783614,0.5367912467809484,290.9042444721122,0.17114262373548092,0.6692479999408248
4.800000000000001,0.34141626160973293,0.11408557818527028,0.544498160204997,290.82507759182414,0.16996452250481053,0.6650237675414498
4.9,0.33565245170044333,0.11230924677607652,0.5520383015234803,290.7477073423862,0.1688206028064977,0.6609197620262289
5.0,0.33002324165858493,0.11056051169835664,0.5594162466430586,290.6720775135986,0.16770948680220654,0.6569312261784191
5.1000000000000005,0.3245240687627995,0.10883949010695705,0.5666364411302436,290.5981341396461,0.16662986728293633,0.6530536424147487
5.2,0.3191505828949257,0.10714621597156683,0.5737032011335076,290.52582539774806,0.16558050342334832,0.6492827186455443
5.300000000000001,0.31389863398314505,0.1054806511570905,0.5806207148597646,290.45510151106583,0.16456021681495012,0.6456143750417358
5.4,0.3087642603300108,0.10384269517356308,0.5873930444964263,290.3859146558251,0.16356788775990352,0.6420447316518482
5.5,0.3037436777539718,0.10223219375855491,0.5940241284874734,290.3182188725789,0.16260245180815125,0.6385700968146054
5.6000000000000005,0.2988332694793917,0.10064894643404093,0.6005177840865675,290.25196998151307,0.1616628965215038,0.6351869563153844
5.7,0.29402957671583974,0.09909271316159222,0.6068777101225682,290.1871255016788,0.16074825844928992,0.6318919632376448
5.800000000000001,0.28932928987264617,0.09756322020407802,0.613107489923276,290.12364457402344,0.15985762030110665,0.6286819284631734
5.9,0.28472924035943403,0.09606016528849291,0.6192105943520733,290.0614878880836,0.15899010830313506,0.6255538117777426
6.0,0.2802263929276112,0.09458322215274904,0.62519038491964,290.00061761219786,0.1581448897253598,0.6225047135415462
6.1000000000000005,0.2758178385116722,0.09313204454904708,0.6310501169392809,289.94099732709486,0.15732117056789235,0.6195318668862501
6.2,0.27150078753266543,0.09170626976754383,0.6367929426997909,289.8825919627114,0.1565181933953866,0.6166326304031257
6.300000000000001,0.26727256362935914,0.09030552173628868,0.6424219146343524,289.8253677380961,0.15573523530931205,0.6138044812889809
6.4,0.2631305977855233,0.08892941374664642,0.6479399884678305,289.7692921042565,0.15497160604856267,0.6110450089189515
6.5,0.259072422824366,0.08757755084752643,0.6533500263281078,289.7143336898109,0.154226646209541,0.608351908817268
6.6000000000000005,0.2550956682435422,0.08624953194658469,0.6586547998098734,289.66046224930903,0.1534997255775003,0.6057229769991214
6.7,0.2511980553663193,0.08494495165205405,0.6638569929816269,289.60764861409115,0.15279024156152393,0.6031561046586699
6.800000000000001,0.24737739278645643,0.0836634018849061,0.6689592053286377,289.55586464555955,0.15209761772602978,0.6006492731799005
6.9,0.2436315720861491,0.08240447328758332,0.6739639546262678,289.5050831907408,0.15142130241225518,0.598200549448734
7.0,0.23995856380802935,0.08116775645249616,0.6788736797394747,289.45527804002194,0.15076076744359523,0.5958080814463139
7.1000000000000005,0.2363564136637058,0.0799528429908062,0.6836907433454882,289.40642388695073,0.15011550690915648,0.59347009410476
7.2,0.23282323896269225,0.07875932645966292,0.688417434577645,289.35849628999244,0.14948503602024785,0.5911848854080604
7.300000000000001,0.2293572252468203,0.07758680316399039,0.6930559715891895,289.31147163614276,0.14886889003495593,0.5889508227219448
7.4,0.22595662311637238,0.07643487284709284,0.6976085040365351,289.2653271063004,0.14826662324626672,0.5867663393377723
7.5,0.22261974523521402,0.07530313928273748,0.7020771154820488,289.22004064230777,0.1476778080295437,0.5846299312164929
7.6000000000000005,0.2193449635031623,0.07419121077994913,0.7064638257168888,289.17559091557297,0.1471020339454474,0.5825401539196784
7.7,0.2161307063847014,0.07309870061049413,0.7107705930048047,289.1319572971905,0.14653890689469035,0.5804956197156248
7.800000000000001,0.21297545638396168,0.07202522736791793,0.7149993162481206,289.08911982948297,0.14598804832125684,0.5784949948493114
7.9,0.20987774765661607,0.07097041526601616,0.719151837077368,289.047059198889,0.14544909446095658,0.5765369969657369
8.0,0.20683616375002525,0.0699338943837462,0.7232299418662287,289.00575671012825,0.14492169563241114,0.5746203926769962
8.1,0.203849335463587,0.06891530086281265,0.7272353636736005,288.96519426157647,0.14440551556777226,0.5727439952640083
8.200000000000001,0.2009159388218177,0.0679142770634736,0.7311697841147089,288.92535432178795,0.14390023078065248,0.5709066625045227
8.3,0.19803469315322286,0.066930471683505,0.7350348351632724,288.88621990710607,0.14340552996893272,0.5691072946195262
8.4,0.19520435926849877,0.06596353984471923,0.7388321008867822,288.8477745603059,0.14292111345026803,0.5673448323307847
8.5,0.19242373773205707,0.065013143150952,0.7425631191169911,288.8100023302157,0.14244669262826432,0.5656182550226844
8.6,0.1896916672212764,0.06407894972100399,0.7462293830577198,288.77288775226685,0.1419819894874395,0.5639265790020479
8.700000000000001,0.18700702296826865,0.06316063419964205,0.7498323428320894,288.7364158299252,0.14152673611519767,0.5622688558499734
8.8,0.1843687152792989,0.062257877749425546,0.7533734069712757,288.70057201695846,0.14108067424919277,0.5606441708601984
8.9,0.18177568812732517,0.06137036802582086,0.7568539438468541,288.66534220049795,0.14064355484853142,0.559051641558812
9.0,0.17922691781342567,0.0604977991377974,0.7602752830487771,288.63071268485373,0.14021513768740082,0.5574904163004958
9.1,0.17672141169316044,0.05963987159585802,0.7636387167109817,288.5966701760459,0.139795190969777,0.5559596729368028
9.200000000000001,0.17425820696417302,0.0587962922492422,0.766945500786585,288.56320176701587,0.13938349096397384,0.5544586175522397
9.3,0.17183636951157785,0.05796677421384884,0.7701968562745735,288.53029492348395,0.13897982165586542,0.5529864832642462
9.4,0.1694549928079012,0.0571510367922544,0.7733939703998446,288.49793747042094,0.13858397441970047,0.551542529083374
9.5,0.1671131968645498,0.05634880538704952,0.7765379977484008,288.46611757910364,0.13819574770547552,0.5501260388302144
9.600000000000001,0.16481012723197358,0.05555981140858071,0.7796300613594459,288.43482375472547,0.13781494674193379,0.5487363201058504
9.700000000000001,0.16254495404586586,0.05478379217806187,0.7826712537760725,288.4040448245353,0.13744138325428462,0.5473727033128248
9.8,0.16031687111691123,0.0540204908269111,0.7856626380561779,288.3737699264782,0.13707487519581343,0.5460345407237607
9.9,0.15812509506174402,0.05326965619307129,0.7886052487451849,288.3439884983149,0.1367152464926079,0.5447212055950307
10.0,0.1559688644729247,0.052531042714985265,0.7915000928120902,288.3146902671957,0.13636232680064875,0.5434320913229146
