Operator_Type,C_rate,M_constant,Final_R_Concentration,Temperature_Std_Dev
linear,88.9,7.525,0.05461312126230184,2.708670778494564
linear,88.9,10.0,0.05461312126230184,2.708670778494564
linear,100.0,0.1,0.047760015302863584,2.700559959939417
linear,100.0,2.575,0.047760015302863584,2.700559959939417
linear,100.0,5.05,0.047760015302863584,2.700559959939417
linear,100.0,7.525,0.047760015302863584,2.700559959939417
linear,100.0,10.0,0.047760015302863584,2.700559959939417
quadratic,0.1,0.1,0.16872681283126958,2.6030396166500784
quadratic,0.1,2.575,0.16872681283126958,2.6030396166500784
quadratic,0.1,5.05,0.16872681283126958,2.6030396166500784
quadratic,0.1,7.525,0.16872681283126958,2.6030396166500784
quadratic,0.1,10.0,0.16872681283126958,2.6030396166500784
quadratic,11.200000000000001,0.1,0.16588175177505915,2.608402929564908
quadratic,11.200000000000001,2.575,0.16588175177505915,2.608402929564908
quadratic,11.200000000000001,5.05,0.16588175177505915,2.608402929564908
quadratic,11.200000000000001,7.525,0.16588175177505915,2.608402929564908
quadratic,11.200000000000001,10.0,0.16588175177505915,2.608402929564908
quadratic,22.300000000000004,0.1,0.15776970372720525,2.6232390329260036
quadratic,22.300000000000004,2.575,0.15776970372720525,2.6232390329260036
quadratic,22.300000000000004,5.05,0.15776970372720525,2.6232390329260036
quadratic,22.300000000000004,7.525,0.15776970372720525,2.6232390329260036
quadratic,22.300000000000004,10.0,0.15776970372720525,2.6232390329260036
quadratic,33.400000000000006,0.1,0.1452749093263367,2.6446564538502035
quadratic,33.400000000000006,2.575,0.1452749093263367,2.6446564538502035
quadratic,33.400000000000006,5.05,0.1452749093263367,2.6446564538502035
quadratic,33.400000000000006,7.525,0.1452749093263367,2.6446564538502035
quadratic,33.400000000000006,10.0,0.1452749093263367,2.6446564538502035
quadratic,44.50000000000001,0.1,0.1296510438204827,2.668634865533498
quadratic,44.50000000000001,2.575,0.1296510438204827,2.668634865533498
quadratic,44.50000000000001,5.05,0.1296510438204827,2.668634865533498
quadratic,44.50000000000001,7.525,0.1296510438204827,2.668634865533498
quadratic,44.50000000000001,10.0,0.1296510438204827,2.668634865533498
quadratic,55.60000000000001,0.1,0.11228359590956594,2.690875927903377
quadratic,55.60000000000001,2.575,0.11228359590956594,2.690875927903377
quadratic,55.60000000000001,5.05,0.11228359590956594,2.690875927903377
quadratic,55.60000000000001,7.525,0.11228359590956594,2.690875927903377
quadratic,55.60000000000001,10.0,0.11228359590956594,2.690875927903377
quadratic,66.7,0.1,0.09447756540749913,2.707541666747305
quadratic,66.7,2.575,0.09447756540749913,2.707541666747305
quadratic,66.7,5.05,0.09447756540749913,2.707541666747305
quadratic,66.7,7.525,0.09447756540749913,2.707541666747305
quadratic,66.7,10.0,0.09447756540749913,2.707541666747305
quadratic,77.80000000000001,0.1,0.07731316160593453,2.715725943258947
quadratic,77.80000000000001,2.575,0.07731316160593453,2.715725943258947
quadratic,77.80000000000001,5.05,0.07731316160593453,2.715725943258947
quadratic,77.80000000000001,7.525,0.07731316160593453,2.715725943258947
quadratic,77.80000000000001,10.0,0.07731316160593453,2.715725943258947
quadratic,88.9,0.1,0.061577796023313584,2.7136376621551026
quadratic,88.9,2.575,0.061577796023313584,2.7136376621551026
quadratic,88.9,5.05,0.061577796023313584,2.7136376621551026
quadratic,88.9,7.525,0.061577796023313584,2.7136376621551026
quadratic,88.9,10.0,0.061577796023313584,2.7136376621551026
quadratic,100.0,0.1,0.047760015302863584,2.700559959939417
quadratic,100.0,2.575,0.047760015302863584,2.700559959939417
quadratic,100.0,5.05,0.047760015302863584,2.700559959939417
quadratic,100.0,7.525,0.047760015302863584,2.700559959939417
quadratic,100.0,10.0,0.047760015302863584,2.700559959939417
compositional,0.1,0.1,0.16872475108410856,2.603043532310928
compositional,0.1,2.575,0.1686680645700662,2.6031511747565945
compositional,0.1,5.05,0.16861140030506303,2.603258743456255
compositional,0.1,7.525,0.16855475827801095,2.6033662384503975
compositional,0.1,10.0,0.16849813847784714,2.603473659779633
compositional,11.200000000000001,0.1,0.16847069445109192,2.603525716343894
compositional,11.200000000000001,2.575,0.16226848977700872,2.6150964614603165
compositional,11.200000000000001,5.05,0.15633000451841395,2.6257984857299137
compositional,11.200000000000001,7.525,0.1506412990803751,2.6356827503944036
compositional,11.200000000000001,10.0,0.1451893860854877,2.644796595629817
compositional,22.300000000000004,0.1,0.1682170845566388,2.60400641990456
compositional,22.300000000000004,2.575,0.156149306666706,2.626118104031858
compositional,22.300000000000004,5.05,0.14507102001725347,2.6449904032397265
compositional,22.300000000000004,7.525,0.13488317529437718,2.6609838398919843
compositional,22.300000000000004,10.0,0.12549926660816416,2.674411358140528
compositional,33.400000000000006,0.1,0.16796392040500546,2.6044856466486883
compositional,33.400000000000006,2.575,0.15029524974705913,2.636271908635147
compositional,33.400000000000006,5.05,0.13473055882119722,2.661212650145217
compositional,33.400000000000006,7.525,0.1209689307539938,2.680398296953308
compositional,33.400000000000006,10.0,0.10876287046439893,2.6947172108006217
compositional,44.50000000000001,0.1,0.1677112010033889,2.604963400220494
compositional,44.50000000000001,2.575,0.14469212695722158,2.6456095995680617
compositional,44.50000000000001,5.05,0.1252180816733645,2.6747927476600375
compositional,44.50000000000001,7.525,0.10864295802713975,2.694843656523819
compositional,44.50000000000001,10.0,0.09446434158029446,2.7075512725700754
compositional,55.60000000000001,0.1,0.16745892536192225,2.605439684253604
compositional,55.60000000000001,2.575,0.13932672400644797,2.6541791878516285
compositional,55.60000000000001,5.05,0.11645426481824434,2.6860158014811426
compositional,55.60000000000001,7.525,0.09769324601716689,2.70507336034371
compositional,55.60000000000001,10.0,0.08219658643050509,2.7143434239577386
compositional,66.7,0.1,0.16720709249362628,2.6059145023699344
compositional,66.7,2.575,0.1341867190516189,2.6620252999796725
compositional,66.7,5.05,0.1083692735583236,2.695131148425549
compositional,66.7,7.525,0.0879422919894246,2.7117116842027125
compositional,66.7,10.0,0.07163365863412213,2.7162221773840143
compositional,77.80000000000001,0.1,0.1669557014144338,2.6063878581804203
compositional,77.80000000000001,2.575,0.12926060640848933,2.669189471824506
compositional,77.80000000000001,5.05,0.10090135336198376,2.702357775518699
compositional,77.80000000000001,7.525,0.07924024926044448,2.7152800147739895
compositional,77.80000000000001,10.0,0.06251133222147609,2.7140888657514584
